date,account_value,daily_volatility,volatility,turbulence,window
2022-07-02,601234.130744,8779.7507003597,0.253657612901005,0.00138831328427317,6
2022-07-03,605315.880744,8807.61842589445,0.253080078914617,0.000995737620135112,6
2022-07-04,648520.500744,9221.46188457605,0.261101311683892,0.0123707905991536,6
2022-07-05,638105.000744,9197.01462480443,0.261143720668184,0.00127965301087373,6
2022-07-06,668546.410744,9366.28601298057,0.264391439963413,0.00933871627876848,6
2022-07-07,697214.370744,9853.93005299916,0.26475437997237,0.0252360989637128,6
2022-07-08,684012.020744,9844.99975882963,0.264759764492822,0.00257139163947657,6
2022-07-09,685689.760744,9842.31649751554,0.265062633109137,0.000632777647630818,6
2022-07-10,658294.180744,9511.59867892645,0.266803186843384,0.0032263187962567,6
2022-07-11,617780.700744,9106.27954633626,0.263538271477672,0.00493910656945038,6
2022-07-12,585228.040744,8821.1916953298,0.258734214536429,0.00643457484968468,6
2022-07-13,628252.500744,9228.73885788783,0.229746124143413,0.0147827175875058,6
2022-07-14,672402.960744,9376.27340861792,0.232128426329441,0.0335874820910555,6
2022-07-15,693701.250744,9481.61754600389,0.227384646157561,0.0159680292561365,6
2022-07-16,763851.050744,9623.84517923521,0.205267845512602,0.0696989344081614,6
2022-07-17,754167.450744,9440.92615096751,0.204641162761776,0.00141421149446391,6
2022-07-18,890633.020744,10154.1592837921,0.189315541032531,0.129842642887481,6
2022-07-19,868833.660744,10615.178337586,0.16909255308042,0.0619156446911867,6
