date,account_value,daily_volatility,fear_greed,fear_greed_norm,window
2024-08-12,827212.82656,27227.3540765311,25,-0.5,18
2024-08-13,836788.82656,27814.74897321,31,-0.38,18
2024-08-14,835512.02656,26927.0897382918,30,-0.4,18
2024-08-15,828808.82656,26410.2828848171,29,-0.42,18
2024-08-16,829606.82656,27033.3964201643,27,-0.46,18
2024-08-17,864559.22656,27314.0036696087,25,-0.5,18
2024-08-18,847960.82656,26815.4828592343,31,-0.38,18
2024-08-19,891372.02656,27279.7588828363,28,-0.44,18
2024-08-20,908928.02656,27091.0928503094,30,-0.4,18
2024-08-21,910045.22656,28087.3916130814,26,-0.48,18
2024-08-22,930474.02656,27718.3484777494,39,-0.22,18
2024-08-23,944518.82656,29410.2118409341,34,-0.32,18
2024-08-24,926643.62656,29468.1906257694,56,0.12,18
2024-08-25,916110.02656,29504.3901086672,54,0.08,18
2024-08-26,875092.82656,28872.3479928925,55,0.1,18
2024-08-27,851312.42656,27314.8975594715,48,-0.04,18
2024-08-28,857217.62656,27119.0014416784,30,-0.4,18
2024-08-29,856260.02656,27272.0296079583,29,-0.42,18
2024-08-30,854344.82656,27161.9465640692,34,-0.32,18
2024-08-03,1000000,0,-1,-1,19
2024-08-04,957375.94994,26681.4647274445,34,-0.32,19
2024-08-05,888676.93994,24797.8478163654,26,-0.48,19
2024-08-06,921206.56784,25727.2765054424,17,-0.66,19
2024-08-07,905885.19784,25337.8069282406,29,-0.42,19
2024-08-08,1013982.27784,28338.693401175,20,-0.6,19
2024-08-09,999618.79784,27959.8864401894,48,-0.04,19
2024-08-10,1001159.37784,27994.1246307319,40,-0.2,19
2024-08-11,965195.29784,26969.432609202,39,-0.22,19
2024-08-12,976916.37784,27227.3540765311,25,-0.5,19
2024-08-13,996615.79784,27814.74897321,31,-0.38,19
2024-08-14,965782.72784,26927.0897382918,30,-0.4,19
2024-08-15,946660.40784,26410.2828848171,29,-0.42,19
2024-08-16,968205.10784,27033.3964201643,27,-0.46,19
2024-08-17,978388.86784,27314.0036696087,25,-0.5,19
2024-08-18,961281.38784,26815.4828592343,31,-0.38,19
2024-08-19,977813.67784,27279.7588828363,28,-0.44,19
2024-08-20,970501.61784,27091.0928503094,30,-0.4,19
2024-08-21,1005301.80784,28087.3916130814,26,-0.48,19
2024-08-22,992812.29784,27718.3484777494,39,-0.22,19
2024-08-23,1052695.09784,29410.2118409341,34,-0.32,19
2024-08-24,1054605.09784,29468.1906257694,56,0.12,19
2024-08-25,1055383.10784,29504.3901086672,54,0.08,19
2024-08-26,1032487.84784,28872.3479928925,55,0.1,19
2024-08-27,975700.90784,27314.8975594715,48,-0.04,19
2024-08-28,970276.80784,27119.0014416784,30,-0.4,19
2024-08-29,975453.08784,27272.0296079583,29,-0.42,19
2024-08-30,971672.27784,27161.9465640692,34,-0.32,19
2024-08-31,969143.86784,27094.739338847,29,-0.42,19
2024-09-01,941501.67784,26331.4225083382,26,-0.48,19
2024-09-02,971866.10784,27165.3061125305,26,-0.48,19
2024-09-03,944503.22784,26417.5399715218,26,-0.48,19
2024-09-04,952407.22784,26642.276389641,27,-0.46,19
2024-09-05,922989.72784,25818.0014659543,29,-0.42,19
2024-09-06,886149.02784,24809.2108022658,22,-0.56,19
2024-09-07,889781.91784,24890.0784338177,23,-0.54,19
2024-09-08,901388.837839999,25216.522494818,29,-0.42,19
2024-09-09,936779.43784,26222.2293182711,26,-0.48,19
2024-09-10,946535.95784,26496.0469737812,33,-0.34,19
2024-09-11,941401.88784,26363.1365907334,37,-0.26,19
2024-09-12,954373.89784,26729.1243755936,31,-0.38,19
2024-09-13,992981.14784,27823.5825781739,32,-0.36,19
2024-09-14,984693.52784,27591.1944215915,50,0,19
